id,text,review
7961,"Honestly the best part of this place is the unbelievable deal you can get on pet related products. Because they are one of the primary income sources for HALO Animal Rescue, people that have pets, tend to make donations. You can almost always find pet carriers for under $10. They have dog crates for training and you don't have to shell out a fortune for them. They have fish tanks that will allow you to let little Johnny get his feet wet in the world of pet care and the associated responsibilities without breaking the bank. If you are a person that shares your life with animals, you understand the rarity of these kinds of deals!

Yes they have clothes, furniture, tchatchkies, etc., but the real deals are on the pet products.

As a side note, HALO recently leased the MCCAC location at 5231 North 35th Avenue (It was the previous Maricopa County run cat adoption center). So if you are looking for a companion (cat or dog), check them out and support one of the fastest growing no-kill efforts in the US.
http://www.halorescue.org/index.html",Excellent
4697,"Found Indulge on a whim, based on their huge ""Gluten-Free Menu"" outside - I was not disappointed when we decided to try it!

Indulge has a separate gluten-free menu and the server was very knowledgable walking me through their kitchen processes to reassure me.  

I ordered my burger on a gluten-free bun (!!!) the first time I was ever able to do this in a restaurant.  That was EXCITING!

I think Indulge is as good as you make it - you are given a menu to check off ingredients for your burger.  They have SOOO many choices, that it's likely that if you don't like your burger, YOU made the wrong choice. 

I had no such problem - I loved my custom burger!  It was cooked to the correct temperature, was delicious & best of all, was delivered on a tasty gluten-free bun. 

PLUS, though I was full (it was a LOT of food!) I was able to take a gluten-free cupcake to go - wow, was that ever heaven later!  Thanks Indulge!",Excellent
4459,"My take on Mill street is that it's your classic college-town main strip area with a couple bars with big TV's, a burrito place, a burger place, the quintessential late night grease-craving joint and a couple ""edgy"" ""boutiques"" selling overpriced Asian imports to tourists that will bite (guilty), and college students trying to reinvent themselves with ""hippie-chic,"" whatever the f that is. (Um, also guilty...)

But I way digress! Streets like this also always have a couple more decorous dining establishments for when the parental units are in town -- which is exactly what I happen to have stumbled upon in this place, and perfect because if there's anything I love as much as edgy ""hippie chic,"" it's decorum.

I treated myself to my one sit-down meal during a week of travel/ being late for everything/ conference bagged lunches, and can't think of much more to have asked for than sitting outside on their little street-side patio with my glass of rosé and my truffle oil pizza. Granted I've had better rosé and more perceptive service, but man, truffle oil. Self indulgent afternoon success.",Very good
3714,"I think Matt's has had its '5 minutes of fame'.  Note to owners: Your food is good enough,  your staff is great, so please save your money and move to a better location.  Right now, you're next to a rundown hotel with police baracade tape all over the place.The local residents(?) pan-handling all the waiting customers outside your place. Seriously?   Just sad.  Won't go again, won't recommend it either.  Good luck this summer, the heat will melt all your 'waiting area' customers out .",Bad
4744,"Nobody likes going to the auto body shop..period! 

These guys took a negative situation and absolutely turned it around. They immediately made me feel at home from the moment I approached the front desk; all the way up to the ownership of the shop. It was a professional experience with a family friendly approach. The work they completed on the rear bumper of my car was excellent. I HIGHLY recommend Impact AB for your AB repair needs.

Tom Butka was a pleasure to work with. Thanks Impact AB for everything!",Excellent
872,"On my way to the Airport, I decided to stop at Ted's for a bite to eat.  Being that I live really close to this place, and have never tried it before, I thought this would be a prime time to check this place out.

Well, it was alright.  Nothing special on the interior, and even though I was not blown away by my experience here, I really did enjoy myself.  We waited in line, and I ordered a jumbo beef hot dog, with Chili.  Austin got a sausage, with some of the fixings, and fries.  We both liked it, and I plan on returning again soon.  Pretty good!",Good
4100,"Roads are good
Service not so good

This place is a tourist trap in every sense of the word. The restaurant and gift shop are overpriced for what you get and the ice cream isn't anything special. Service from the staff needs to be a lot better and treat the customers like you want them there. Always understaffed always waiting on food. Been there a half dozen time no improvement.

Do come to the area for the beautiful views, not for the food or souvenirs. Great road for motorcycles ride.

During the summer outdoor cooking.",Bad
8995,"I've known my way around Sky Harbor Airport since I was 4 years old and Terminal 1 was an actual terminal. In the time since then, their attempts to improve the airport, transportation and parking, and terminals have made it extremely confusing. Get in the wrong lane and you'll end up in the parking garage, when all you wanted was to drop off someone at the Departures curb. 

Terminal 2 remains the most accessible, with a parking lot located across the street and few airlines stationed there. Because only a couple airlines now use this terminal, security is a breeze. However, it's the oldest terminal, smells bad (like rotten pizza) and doesn't appear clean. 

Terminal 3 a little more of a hassle, although they have a parking garage attached to the terminal allowing you to enter any level through the elevator. More airlines use this terminal and it's much smaller than Terminal 4, making it easier to navigate.

Oh, Terminal 4. You're so nice, new and clean. You have access to great restaurants like Flo's Shanghai Cafe, Einstein's, Quizno's and more. I love Taberna del Tequila for a drink just prior to my flight inside security access (I don't like to fly, I prefer a bloody mary prior to boarding). You have tons of shops from Borders Books to local AZ tourist junk. I would like to love you, but you are just a mess. It's way to difficult to navigate your lanes to get where you're going, pick up and drop off is dangerous due to the people who pull away from the curb into lanes without looking, and security is painful- not only is there always a LONG line, but TSA agents regularly yell at people to ""pay attention!"" I dread flying out of Terminal 4 because I have to leave extra early for all the BS.

There are much easier airports to navigate and use, but we're stuck with Sky Harbor. I can only hope the light rail access once complete will help in making it a more user friendly airport.",Bad
657,"Had lunch here today after hearing all the colossal raves about it. However, once I walked in, I realized that any semblance of having an authentic Chinese meal went out the window (no offense, my hungry white friends!). 

I decided to try it out anyway, was seated by a friendly waiter and ordered the hot & sour soup (they were able to sub in chicken instead of pork - bonus) and the waiter recommended the house chicken to me. I asked for it to be made really spicy, knowing full well it wasn't going to be (no one EVER listens to me when I demand the food be spicy - listen, dammit, I'm brown, people). Anyway, that's my issue.

The hot & sour soup arrived, and it was excellent. I was happy. Nothing mars a Chinese meal more than beginning it with a bowl of shiteous soup. Then came the house chicken (with string beans added for $1). Steamed rice costs another extra buck - I get annoyed when Chinese restaurants don't make it complimentary, but again, my issue. Anyway, the chicken was just ok. Nothing amazing and it still ended up feeling pretty heavy. So that dish I'm more willing to give it 2.5 stars. 

So why did I bump up the star wattage? I guess the service. 

The waiter:

* noticed I wasn't devouring my dish and offered to switch it for any other dish of my choice, no extra charge. Who does this nowadays - in a Chinese restaurant no less? Extra star.
* is from the SF Bay Area like myself, so he gave me the lowdown for good Asian food in Phoenix (for dimsum he recommended Golden Buddha first, Great Wall second, C-Fu third - then for Vietnamese he recommended some place on 19th Ave between Indian School & Camelback.) He agreed that Thai, Korean, and sushi in Phoenix is kind of a letdown compared to California, but almost all the Asian restaurants (he admitted, including China Chili) cater to their core customers, who by sheer demographics are pretty much not Asian. That said, he told me that China Chili is THE place people go to for Chinese food, including Chris Bianco (of Pizzeria Bianco), the mayor, folks from Channel 10 news, the owner of the Diamondbacks, etc. etc. So take that for what you will.
* When I asked if this China Chili was affiliated with...""oh, the one in Fremont? No. But people say that place is good and fancy and has an electric piano."" Bonus points for knowing that.

Anyway, he recommended I come back and get the Mongolian beef next time, which I'll definitely do, plus the hot & sour soup. I didn't mind the big open seating area - many Chinese restaurants in SF are like this, loud and raucous. 

All in all, China Chili is a case where service overcame the food (again, how often does that happen?) to come back and give it another shot. 

And there you have it.",Good
2942,"They don't serve food, they serve sex on a plate. At first glance the place looks like a hallway but it's really a flavor factory hidden away between two buildings no one cares about because those places don't have Pasty's. The service is fast , friendly, and the music is off the chain.  The food is not to be forgotten though, there are so many selections of Pasty variations that anyone with any craving will loose all control of there facial expressions. I only wish the place was bigger, there have been times when I've  had to wait for a space to open up but that's not necessarily a bad thing.  That time allowed me  to prepare myself for the nirvana inducing flavorgasm that is The Cornish Pasty Company.",Excellent
